id;tel_number;message;created_timestamp;uuid_device;is_sending;sending_timestamp;is_send;send_timestamp;alert_type;feature_send
1;Fresh plum;Ergonomic Rubber Sausages Sleek Fresh Chips Berkshire;2021-01-31T02:52:34;e-business;false;2021-01-31T15:26:48;false;2021-01-31T08:14:23;UNKNOWN;2021-01-31T17:15:32
2;payment;methodology;2021-01-31T19:44:03;Mayotte 1080p robust;true;2021-01-31T17:00:05;false;2021-01-31T01:39:13;WARN;2021-01-31T17:15:17
3;GB Fresh;Steel;2021-01-31T16:50:37;extend world-class SDD;false;2021-01-31T20:02:58;true;2021-01-31T04:01:25;DEBUG;2021-01-31T14:23:23
4;website Versatile deposit;Chair;2021-01-30T23:43:35;Outdoors Customer-focused bluetooth;true;2021-01-31T17:05:18;true;2021-01-30T23:17:23;WARN;2021-01-30T23:49:41
5;Persistent;back-end Chad;2021-01-31T05:00:40;Generic Tools indexing;true;2021-01-31T15:37:13;false;2021-01-31T00:35:43;DEBUG;2021-01-31T02:38:11
6;Corporate Functionality zero administration;Forest compressing analyzer;2021-01-31T00:44:34;Bedfordshire override Grocery;true;2021-01-31T13:12:55;false;2021-01-31T17:32:46;UNKNOWN;2021-01-31T08:06:41
7;Garden;Investor;2021-01-31T16:27:31;Compatible haptic;true;2021-01-31T01:14:40;true;2021-01-30T23:36:57;INFO;2021-01-31T20:19:05
8;Open-architected synthesizing;Outdoors Internal;2021-01-30T22:09:47;Martinique;false;2021-01-31T12:33:42;true;2021-01-31T20:46:02;DEBUG;2021-01-30T23:54:39
9;Delaware Sleek reboot;Product Granite;2021-01-31T14:35:26;solutions Metal;true;2021-01-31T03:00:05;true;2021-01-31T07:53:59;ERROR;2021-01-31T13:19:23
10;IB East Caribbean Dollar;protocol ivory bypassing;2021-01-31T21:02:27;Money Market Account;false;2021-01-31T11:01:20;true;2021-01-31T15:02:46;ERROR;2021-01-31T12:17:01
